ID,y,t,l,f,e,m,r,ls,ld,lh,s
1,,,,,,,,,,,,2014
1,,,,,,,,,,,,2015
1,,,,,,,,,,,,2016
1,,,,,,,,,,,,2017
1,,,,,,,,,,,,2018
1,,,,,,,,,,,,2019
1,,,,,,,,,,,,2020
1,,,,,,,,,,,,2021
1,,,,,,,,,,,,2022
1,,,,,,,,,,,,2023
1,,,,,,,,,,,,2024
1,,,,,,,,,,,,2025
1,,,,,,,,,,,,2026
1,,,,,,,,,,,,2027
1,,,,,,,,,,,,2028
1,,,,,,,,,,,,2029
1,,,,,,,,,,,,2030
1,,,,,,,,,,,,2031
1,,,,,,,,,,,,2032
1,,,,,,,,,,,,2033
1,,,,,,,,,,,,2034
2,,,,,,,,,,,,tElCo
2,,,,,,,,,,,,tElNu
2,,,,,,,,,,,,tElHy
2,,,,,,,,,,,,tElPu
2,,,,,,,,,,,,tElDi
2,,,,,,,,,,,,impDi
2,,,,,,,,,,,,impCo
2,,,,,,,,,,,,impOil
2,,,,,,,,,,,,impUran
2,,,,,,,,,,,,riv
3,,,,,,,,,,,,ID
3,,,,,,,,,,,,IN
3,,,,,,,,,,,,SD
3,,,,,,,,,,,,SN
3,,,,,,,,,,,,WD
3,,,,,,,,,,,,WN
4,,,,,,,,,,,,fDSL
4,,,,,,,,,,,,fELC
4,,,,,,,,,,,,fCOAL
4,,,,,,,,,,,,fHYD
4,,,,,,,,,,,,fOIL
4,,,,,,,,,,,,fURN
5,,,,,,,,,,,,CO2
6,,,,,,,,,,,,1
6,,,,,,,,,,,,2
7,,,,,,,,,,,,NO
8,,,,,,,,,,,,1
8,,,,,,,,,,,,2
8,,,,,,,,,,,,3
9,,,,,,,,,,,,1
10,,,,,,,,,,,,1
10,,,,,,,,,,,,2
11,,,,,,,,,,,,DAM
11,,,,,,,,,,,,BTRY
12,2014,,ID,,,,,,,,,0.1667
12,2015,,ID,,,,,,,,,0.1667
12,2016,,ID,,,,,,,,,0.1667
12,2017,,ID,,,,,,,,,0.1667
12,2018,,ID,,,,,,,,,0.1667
12,2019,,ID,,,,,,,,,0.1667
12,2020,,ID,,,,,,,,,0.1667
12,2021,,ID,,,,,,,,,0.1667
12,2022,,ID,,,,,,,,,0.1667
12,2023,,ID,,,,,,,,,0.1667
12,2024,,ID,,,,,,,,,0.1667
12,2025,,ID,,,,,,,,,0.1667
12,2026,,ID,,,,,,,,,0.1667
12,2027,,ID,,,,,,,,,0.1667
12,2028,,ID,,,,,,,,,0.1667
12,2029,,ID,,,,,,,,,0.1667
12,2030,,ID,,,,,,,,,0.1667
12,2031,,ID,,,,,,,,,0.1667
12,2032,,ID,,,,,,,,,0.1667
12,2033,,ID,,,,,,,,,0.1667
12,2034,,ID,,,,,,,,,0.1667
12,2014,,IN,,,,,,,,,0.0833
12,2015,,IN,,,,,,,,,0.0833
12,2016,,IN,,,,,,,,,0.0833
12,2017,,IN,,,,,,,,,0.0833
12,2018,,IN,,,,,,,,,0.0833
12,2019,,IN,,,,,,,,,0.0833
12,2020,,IN,,,,,,,,,0.0833
12,2021,,IN,,,,,,,,,0.0833
12,2022,,IN,,,,,,,,,0.0833
12,2023,,IN,,,,,,,,,0.0833
12,2024,,IN,,,,,,,,,0.0833
12,2025,,IN,,,,,,,,,0.0833
12,2026,,IN,,,,,,,,,0.0833
12,2027,,IN,,,,,,,,,0.0833
12,2028,,IN,,,,,,,,,0.0833
12,2029,,IN,,,,,,,,,0.0833
12,2030,,IN,,,,,,,,,0.0833
12,2031,,IN,,,,,,,,,0.0833
12,2032,,IN,,,,,,,,,0.0833
12,2033,,IN,,,,,,,,,0.0833
12,2034,,IN,,,,,,,,,0.0833
12,2014,,SD,,,,,,,,,0.1667
12,2015,,SD,,,,,,,,,0.1667
12,2016,,SD,,,,,,,,,0.1667
12,2017,,SD,,,,,,,,,0.1667
12,2018,,SD,,,,,,,,,0.1667
12,2019,,SD,,,,,,,,,0.1667
12,2020,,SD,,,,,,,,,0.1667
12,2021,,SD,,,,,,,,,0.1667
12,2022,,SD,,,,,,,,,0.1667
12,2023,,SD,,,,,,,,,0.1667
12,2024,,SD,,,,,,,,,0.1667
12,2025,,SD,,,,,,,,,0.1667
12,2026,,SD,,,,,,,,,0.1667
12,2027,,SD,,,,,,,,,0.1667
12,2028,,SD,,,,,,,,,0.1667
12,2029,,SD,,,,,,,,,0.1667
12,2030,,SD,,,,,,,,,0.1667
12,2031,,SD,,,,,,,,,0.1667
12,2032,,SD,,,,,,,,,0.1667
12,2033,,SD,,,,,,,,,0.1667
12,2034,,SD,,,,,,,,,0.1667
12,2014,,SN,,,,,,,,,0.0833
12,2015,,SN,,,,,,,,,0.0833
12,2016,,SN,,,,,,,,,0.0833
12,2017,,SN,,,,,,,,,0.0833
12,2018,,SN,,,,,,,,,0.0833
12,2019,,SN,,,,,,,,,0.0833
12,2020,,SN,,,,,,,,,0.0833
12,2021,,SN,,,,,,,,,0.0833
12,2022,,SN,,,,,,,,,0.0833
12,2023,,SN,,,,,,,,,0.0833
12,2024,,SN,,,,,,,,,0.0833
12,2025,,SN,,,,,,,,,0.0833
12,2026,,SN,,,,,,,,,0.0833
12,2027,,SN,,,,,,,,,0.0833
12,2028,,SN,,,,,,,,,0.0833
12,2029,,SN,,,,,,,,,0.0833
12,2030,,SN,,,,,,,,,0.0833
12,2031,,SN,,,,,,,,,0.0833
12,2032,,SN,,,,,,,,,0.0833
12,2033,,SN,,,,,,,,,0.0833
12,2034,,SN,,,,,,,,,0.0833
12,2014,,WD,,,,,,,,,0.3333
12,2015,,WD,,,,,,,,,0.3333
12,2016,,WD,,,,,,,,,0.3333
12,2017,,WD,,,,,,,,,0.3333
12,2018,,WD,,,,,,,,,0.3333
12,2019,,WD,,,,,,,,,0.3333
12,2020,,WD,,,,,,,,,0.3333
12,2021,,WD,,,,,,,,,0.3333
12,2022,,WD,,,,,,,,,0.3333
12,2023,,WD,,,,,,,,,0.3333
12,2024,,WD,,,,,,,,,0.3333
12,2025,,WD,,,,,,,,,0.3333
12,2026,,WD,,,,,,,,,0.3333
12,2027,,WD,,,,,,,,,0.3333
12,2028,,WD,,,,,,,,,0.3333
12,2029,,WD,,,,,,,,,0.3333
12,2030,,WD,,,,,,,,,0.3333
12,2031,,WD,,,,,,,,,0.3333
12,2032,,WD,,,,,,,,,0.3333
12,2033,,WD,,,,,,,,,0.3333
12,2034,,WD,,,,,,,,,0.3333
12,2014,,WN,,,,,,,,,0.1667
12,2015,,WN,,,,,,,,,0.1667
12,2016,,WN,,,,,,,,,0.1667
12,2017,,WN,,,,,,,,,0.1667
12,2018,,WN,,,,,,,,,0.1667
12,2019,,WN,,,,,,,,,0.1667
12,2020,,WN,,,,,,,,,0.1667
12,2021,,WN,,,,,,,,,0.1667
12,2022,,WN,,,,,,,,,0.1667
12,2023,,WN,,,,,,,,,0.1667
12,2024,,WN,,,,,,,,,0.1667
12,2025,,WN,,,,,,,,,0.1667
12,2026,,WN,,,,,,,,,0.1667
12,2027,,WN,,,,,,,,,0.1667
12,2028,,WN,,,,,,,,,0.1667
12,2029,,WN,,,,,,,,,0.1667
12,2030,,WN,,,,,,,,,0.1667
12,2031,,WN,,,,,,,,,0.1667
