Elspot Prices in EUR/MWh,,,,,,,,,,,,,,,,,,
Data was last updated 08-03-2014,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Troms?,EE,ELE,LT
1/1/2012,00 - 01,"31,81","32,04","32,04","32,04","32,04","32,04","25,21","32,04","32,04","32,04","32,04","32,04","32,04","32,04","32,04",,
1/1/2012,01 - 02,"29,90","30,00","30,00","30,00","30,00","30,00","23,69","30,00","30,00","30,00","30,00","30,00","30,00","30,00","30,00",,
1/1/2012,02 - 03,"29,04","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05",,
1/1/2012,03 - 04,"28,53","28,55","28,55","28,55","28,55","28,55","28,55","28,55","28,55","28,55","28,55","28,55","28,55","28,55","28,55",,
1/1/2012,04 - 05,"27,73","27,74","27,74","27,74","27,74","27,74","27,74","27,74","27,74","27,74","27,74","27,74","27,74","27,74","27,74",,
1/1/2012,05 - 06,"27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66","27,66",,
1/1/2012,06 - 07,"27,35","27,43","27,43","27,43","27,43","27,43","25,90","25,90","27,43","27,43","27,43","27,43","27,43","27,43","27,43",,
1/1/2012,07 - 08,"26,49","26,55","26,55","26,55","26,55","26,55","25,90","25,90","26,55","26,55","26,55","26,55","26,55","26,55","27,39",,
1/1/2012,08 - 09,"24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","27,77",,
1/1/2012,09 - 10,"24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","24,40","30,65",,
1/1/2012,10 - 11,"26,79","26,79","26,79","26,79","26,79","26,79","26,79","26,79","26,79","26,79","26,79","26,79","26,79","26,79","27,75",,
1/1/2012,11 - 12,"29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05","29,05",,
1/1/2012,12 - 13,"29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30","29,30",,
1/1/2012,13 - 14,"29,05","29,01","29,01","29,01","29,01","29,01","29,01","29,01","29,06","29,06","29,06","29,01","29,01","29,01","29,01",,
1/1/2012,14 - 15,"29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21","29,21",,
1/1/2012,15 - 16,"29,97","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","29,94","32,99",,
1/1/2012,16 - 17,"31,06","31,05","31,05","31,05","31,05","31,05","31,05","31,05","31,05","31,05","31,05","31,05","31,05","31,05","36,64",,
1/1/2012,17 - 18,"33,02","33,00","33,00","33,00","33,00","33,00","33,00","33,00","33,00","33,00","33,00","33,00","33,00","33,00","34,87",,
1/1/2012,18 - 19,"33,81","33,78","33,78","33,78","33,78","33,78","33,78","33,78","33,78","33,78","33,78","33,78","33,78","33,78","33,78",,
1/1/2012,19 - 20,"33,06","33,04","33,04","33,04","33,04","33,04","33,04","33,04","33,04","33,04","33,04","33,04","33,04","33,04","33,04",,
1/1/2012,20 - 21,"30,95","30,92","30,92","30,92","30,92","30,92","30,92","30,92","30,92","30,92","30,92","30,92","30,92","30,92","30,92",,
1/1/2012,21 - 22,"29,43","29,38","29,38","29,38","29,38","29,38","29,38","29,38","29,38","29,38","29,38","29,38","29,38","29,38","29,38",,
1/1/2012,22 - 23,"28,48","28,10","28,10","28,10","28,10","28,10","28,10","28,10","29,05","29,05","29,05","28,10","28,10","28,10","28,10",,
1/1/2012,23 - 00,"26,13","24,62","24,62","24,62","24,62","24,62","24,62","24,62","28,75","28,75","28,75","24,62","24,62","24,62","24,62",,
2/1/2012,00 - 01,"29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46","29,46",,
2/1/2012,01 - 02,"28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64","28,64",,
2/1/2012,02 - 03,"27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72","27,72",,
2/1/2012,03 - 04,"27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79","27,79",,
2/1/2012,04 - 05,"28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87","28,87",,
2/1/2012,05 - 06,"30,15","30,15","30,15","30,15","30,15","30,15","28,51","30,15","30,15","30,15","30,15","30,15","30,15","30,15","30,15",,
2/1/2012,06 - 07,"32,02","31,98","31,98","31,98","31,98","37,95","27,95","31,98","31,98","31,98","31,98","31,98","31,98","31,98","37,95",,
2/1/2012,07 - 08,"34,65","34,27","34,27","34,27","34,27","40,08","38,31","38,31","34,27","34,27","34,27","34,27","34,27","34,27","40,08",,
2/1/2012,08 - 09,"36,35","36,81","36,81","36,81","36,81","38,60","38,44","38,44","35,74","35,74","35,74","36,81","36,81","36,81","38,60",,
2/1/2012,09 - 10,"36,82","37,96","37,96","37,96","37,96","37,96","37,96","40,00","35,83","35,83","35,83","37,96","37,96","37,96","37,96",,
2/1/2012,10 - 11,"37,34","38,95","38,95","38,95","38,95","38,95","38,95","44,20","35,80","35,80","35,80","38,95","38,95","38,95","38,95",,
2/1/2012,11 - 12,"37,25","38,88","38,88","38,88","38,88","38,88","40,48","44,97","35,69","35,69","35,69","38,88","38,88","38,88","38,88",,
2/1/2012,12 - 13,"35,93","36,70","36,70","36,70","36,70","36,70","35,10","39,94","35,54","35,54","35,54","36,70","36,70","36,70","36,70",,
2/1/2012,13 - 14,"35,57","35,46","35,46","35,46","35,46","35,46","35,46","35,46","35,46","35,46","35,46","35,46","35,46","35,46","35,46",,
2/1/2012,14 - 15,"35,92","36,22","36,22","36,22","36,22","36,43","36,22","36,22","35,59","35,59","35,59","36,22","36,22","36,22","36,43",,
2/1/2012,15 - 16,"36,49","37,51","37,51","37,51","37,51","41,13","37,51","37,51","35,76","35,76","35,76","37,51","37,51","37,51","41,13",,
2/1/2012,16 - 17,"36,79","37,72","37,72","37,72","37,72","40,04","37,72","44,95","35,94","35,94","35,94","37,72","37,72","37,72","40,04",,
2/1/2012,17 - 18,"36,91","37,98","37,98","37,98","37,98","37,98","37,98","64,00","35,81","35,81","35,81","37,98","37,98","37,98","37,98",,
2/1/2012,18 - 19,"35,66","35,77","35,77","35,77","35,77","35,77","35,77","35,77","35,52","35,52","35,52","35,77","35,77","35,77","35,77",,
