Time,Oslo,Krs,Bergen,Molde,Trh,Tromso
2012-01-01 00:00:00,32.04,32.04,32.04,32.04,32.04,32.04
2012-01-01 01:00:00,30.00,30.00,30.00,30.00,30.00,30.00
2012-01-01 02:00:00,29.05,29.05,29.05,29.05,29.05,29.05
2012-01-01 03:00:00,28.55,28.55,28.55,28.55,28.55,28.55
2012-01-01 04:00:00,27.74,27.74,27.74,27.74,27.74,27.74
2012-01-01 05:00:00,27.66,27.66,27.66,27.66,27.66,27.66
2012-01-01 06:00:00,27.43,27.43,27.43,27.43,27.43,27.43
2012-01-01 07:00:00,26.55,26.55,26.55,26.55,26.55,26.55
2012-01-01 08:00:00,24.40,24.40,24.40,24.40,24.40,24.40
2012-01-01 09:00:00,24.40,24.40,24.40,24.40,24.40,24.40
2012-01-01 10:00:00,26.79,26.79,26.79,26.79,26.79,26.79
2012-01-01 11:00:00,29.05,29.05,29.05,29.05,29.05,29.05
2012-01-01 12:00:00,29.30,29.30,29.30,29.30,29.30,29.30
2012-01-01 13:00:00,29.06,29.06,29.06,29.01,29.01,29.01
2012-01-01 14:00:00,29.21,29.21,29.21,29.21,29.21,29.21
2012-01-01 15:00:00,29.94,29.94,29.94,29.94,29.94,29.94
2012-01-01 16:00:00,31.05,31.05,31.05,31.05,31.05,31.05
2012-01-01 17:00:00,33.00,33.00,33.00,33.00,33.00,33.00
2012-01-01 18:00:00,33.78,33.78,33.78,33.78,33.78,33.78
2012-01-01 19:00:00,33.04,33.04,33.04,33.04,33.04,33.04
2012-01-01 20:00:00,30.92,30.92,30.92,30.92,30.92,30.92
2012-01-01 21:00:00,29.38,29.38,29.38,29.38,29.38,29.38
2012-01-01 22:00:00,29.05,29.05,29.05,28.10,28.10,28.10
2012-01-01 23:00:00,28.75,28.75,28.75,24.62,24.62,24.62
2012-01-02 00:00:00,29.46,29.46,29.46,29.46,29.46,29.46
2012-01-02 01:00:00,28.64,28.64,28.64,28.64,28.64,28.64
2012-01-02 02:00:00,27.72,27.72,27.72,27.72,27.72,27.72
2012-01-02 03:00:00,27.79,27.79,27.79,27.79,27.79,27.79
2012-01-02 04:00:00,28.87,28.87,28.87,28.87,28.87,28.87
2012-01-02 05:00:00,30.15,30.15,30.15,30.15,30.15,30.15
2012-01-02 06:00:00,31.98,31.98,31.98,31.98,31.98,31.98
2012-01-02 07:00:00,34.27,34.27,34.27,34.27,34.27,34.27
2012-01-02 08:00:00,35.74,35.74,35.74,36.81,36.81,36.81
